ortholog/paralog1,paralog2,ortholog,score
K7ISW2,no,A0A088A4M9,277.0
K7ISW5,no,A0A087ZYC5,328.0
K7ISW6,no,A0A088AUV2,804.0
K7ISW7,no,A0A088AUV0,691.0
K7ISW8,no,A0A088AUV8,239.0
K7ISW9,no,A0A088AUU8,739.5
K7ISX0,no,A0A088A4P8,1442.0
K7ISX5,no,A0A088AC10,750.0
K7ISX6,no,A0A088AEI0,408.5
K7ISX7,no,A0A088AEM0,934.0
K7ISX8,no,A0A088AEM1,955.5
K7ISX9,no,A0A088AEM2,912.5
K7ISY1,no,A0A088AEM3,317.5
K7ISY2,no,A0A088AEM5,362.5
K7ISY4,no,A0A088AEH9,171.0
K7ISY6,no,A0A088AEL3,533.0
K7ISY7,no,A0A088AEJ3,659.5
K7ISY8,no,A0A088AEJ6,785.5
K7ISY9,no,A0A088AEL0,485.0
K7ISZ0,no,A0A088AEJ7,737.5
K7ISZ1,no,A0A088AEK9,1177.5
K7ISZ2,no,A0A088AEJ8,672.5
K7ISZ3,no,A0A088A288,187.0
K7ISZ5,no,A0A087ZN70,785.0
K7ISZ6,no,A0A087ZMW0,600.0
K7ISZ8,no,A0A087ZN71,546.0
K7ISZ9,no,A0A088AML4,123.5
K7IT03,no,A0A087ZZR0,610.0
K7IT04,no,A0A087ZSF5,137.0
K7IT05,no,A0A087ZS22,826.5
K7IT06,no,A0A087ZSF4,1834.5
K7IT07,no,A0A088AQA3,724.5
K7IT08,no,A0A088AQA0,750.5
K7IT10,no,A0A087ZS23,675.5
K7IT11,no,A0A087ZSF2,854.5
K7IT12,no,A0A087ZSH5,748.0
K7IT13,no,A0A088A6D2,1186.5
K7IT14,no,A0A088ATI8,1377.0
K7IT15,no,A0A088AJD7,765.0
K7IT16,no,A0A088AJP8,1509.0
K7IT17,no,A0A088AGM6,201.5
K7IT18,no,A0A088A858,496.5
K7IT19,no,A0A088AEQ0,565.0
K7IT21,no,A0A088ACK6,2533.5
K7IT22,no,A0A088ACJ5,211.0
K7IT23,no,A0A088ACK5,3638.0
K7IT24,no,A0A088ACK4,259.0
K7IT25,no,A0A088ACJ8,1863.5
K7IT26,no,A0A088ACK1,192.0
K7IT27,no,A0A088A0L3,1193.5
K7IT28,no,A0A088A0P6,499.0
K7IT30,no,A0A088A5B7,480.5
K7IT31,no,A0A088A0P4,599.0
K7IT32,no,A0A088A1J9,664.0
K7IT33,no,A0A088A1K0,387.0
K7IT34,no,A0A088A1K2,3094.0
K7IT35,no,A0A088A4P1,879.0
K7IT38,no,A0A087ZXB3,556.0
K7IT39,no,A0A087ZX97,50.4
K7IT40,no,A0A088AGJ0,266.0
K7IT41,no,A0A088AGA7,925.0
K7IT53,no,H9K244,274.0
K7IT54,no,A0A088A8W3,2472.5
K7IT55,no,A0A088A8S3,974.0
K7IT56,no,A0A087ZSL3,203.5
K7IT57,no,A0A087ZST1,1261.0
K7IT58,no,A0A087ZSL5,3143.0
K7IT59,no,A0A088AHQ0,676.5
K7IT60,no,A0A088AA42,246.0
K7IT61,no,A0A087ZXK9,315.5
K7IT62,no,A0A088A159,419.0
K7IT63,no,A0A088A158,1605.0
K7IT64,no,A0A088A156,479.0
K7IT66,no,A0A088AUV6,980.5
K7IT67,no,A0A087ZWJ0,216.0
K7IT69,no,A0A087ZW52,104.0
K7IT70,no,A0A087ZWJ2,816.5
K7IT71,no,A0A088AVB3,627.5
K7IT72,no,A0A088AUF7,653.0
K7IT73,no,A0A088AVB1,265.0
K7IT75,no,A0A088AUF8,1472.0
K7IT76,no,A0A088ATS1,183.0
K7IT77,no,A0A088A3T8,135.0
K7IT78,no,A0A087ZP90,181.0
K7IT79,no,A0A088A3X9,211.0
K7IT80,no,A0A088AGJ2,595.0
K7IT81,no,A0A088AVL1,1581.0
K7IT82,no,A0A088AUW5,294.5
K7IT84,no,A0A088AFL5,276.0
K7IT85,no,A0A087ZUB3,626.0
K7IT86,no,A0A087ZUB2,662.5
K7IT87,no,A0A087ZRH9,1091.5
K7IT88,no,A0A087ZRI0,87.05000000000001
K7IT90,no,A0A087ZRJ2,373.0
K7IT91,no,A0A087ZRJ1,441.0
K7ITA1,no,A0A088AIS5,160.0
K7ITA2,no,A0A088AIP7,619.0
K7ITA3,no,A0A087ZRM9,1086.0
K7ITA4,no,A0A088AAC9,434.0
K7ITA5,no,A0A088AIL9,487.0
K7ITA6,no,A0A088ACR6,82.8
K7ITA8,no,A0A088AAE4,326.0
K7ITA9,no,A0A087ZVF9,516.5
K7ITB0,no,A0A088AFU2,226.0
K7ITB1,no,A0A088AFV6,3391.0
K7ITB2,no,A0A088A7W2,336.0
K7ITB3,no,A0A088A7X0,786.0
K7ITB4,no,A0A088A7W3,564.0
K7ITB5,no,A0A088A7W9,2214.0
K7ITB6,no,A0A088A1S9,625.5
K7ITB7,no,A0A088A191,292.0
K7ITB8,no,A0A088A190,655.0
K7ITB9,no,A0A088A189,431.5
K7ITC1,no,A0A088A1T2,451.0
K7ITC2,no,A0A088A185,456.0
K7ITC3,no,A0A087ZWG3,561.0
K7ITC4,no,A0A087ZY94,580.0
K7ITC5,no,A0A087ZSR0,3773.0
K7ITC6,no,A0A087ZSQ7,2533.5
K7ITC7,no,A0A087ZY90,661.0
K7ITC8,no,A0A0B4J2N0,817.0
K7ITD1,no,A0A088ASS0,256.0
K7ITD2,no,A0A088ASW0,2270.0
K7ITD3,no,A0A088AJ91,248.0
K7ITD4,no,A0A088AJ78,484.0
K7ITD5,no,A0A087ZY93,164.0
K7ITD6,no,A0A087ZWD3,968.0
K7ITD7,no,A0A087ZWD5,608.0
K7ITE2,no,A0A088AJ79,747.0
K7ITE3,no,A0A088A7G2,1516.0
K7ITE4,no,A0A088A789,241.5
K7ITE5,no,A0A088A7J0,392.5
K7ITE6,no,A0A088A790,541.0
K7ITE7,no,A0A088A7I9,387.5
K7ITE8,no,A0A087ZSQ6,723.0
K7ITE9,no,A0A088A1S8,784.0
K7ITF0,no,A0A088A193,694.0
K7ITF1,no,A0A088A1S7,529.0
K7ITF5,no,A0A087ZW83,657.0
K7ITF6,no,A0A088A1Z8,311.0
K7ITF7,no,A0A087ZYC4,924.5
K7ITF9,no,A0A088AA07,787.0
K7ITG0,no,A0A087ZUN1,947.0
K7ITG1,no,A0A087ZUN0,272.5
K7ITG4,no,A0A087ZX36,845.0
K7ITG5,no,A0A087ZX60,368.0
K7ITG6,no,A0A087ZX19,305.0
K7ITG7,no,A0A087ZX72,2468.5
K7ITG8,no,A0A088ALA2,1147.5
K7ITG9,no,A0A088ALA3,696.5
K7ITH0,no,A0A088ALN7,546.0
K7ITH1,no,A0A088AE68,651.0
K7ITH2,no,A0A088AE67,366.0
K7ITH3,no,A0A088AEC7,480.0
K7ITH7,no,A0A088ALJ5,246.0
K7ITH8,no,A0A088ALI3,479.0
K7ITH9,no,A0A088AEP8,585.0
K7ITI0,no,A0A087ZX94,1033.0
K7ITI2,no,A0A088A566,361.0
K7ITI3,no,A0A088A2U7,417.0
K7ITI4,no,A0A088A004,518.0
K7ITI5,no,A0A087ZX22,220.0
K7ITI6,no,A0A087ZX69,990.5
K7ITI8,no,A0A088A6R7,248.0
K7ITI9,no,A0A088A6T4,1206.0
K7ITJ1,no,A0A088A6R9,348.5
K7ITJ3,no,A0A087ZVT1,527.0
K7ITJ4,no,A0A088A0Q1,541.0
K7ITJ5,no,A0A088A0Q2,343.0
K7ITJ7,no,A0A088AR34,164.5
K7ITJ8,no,A0A088ARA4,666.5
K7ITJ9,no,A0A088AR33,251.0
K7ITK0,no,A0A088AM41,571.5
K7ITK1,no,A0A088AM42,421.0
K7ITK2,no,A0A088AM44,718.0
K7ITK3,no,A0A088ACT7,557.0
K7ITK4,no,A0A088AHQ4,700.5
K7ITK5,no,A0A088AHM6,350.0
K7ITK6,no,A0A088AHQ5,279.0
K7ITK7,no,A0A088AC68,614.5
K7ITK8,no,A0A088AC83,536.0
K7ITK9,no,A0A088AC69,642.0
K7ITL0,no,A0A088AC70,568.0
K7ITL1,no,A0A087ZVT4,721.0
K7ITL2,no,A0A087ZVT0,366.0
K7ITL6,no,A0A087ZVT6,528.0
K7ITL9,no,A0A088A055,449.0
K7ITM0,no,A0A088A017,1342.5
K7ITM1,no,A0A088A269,395.0
K7ITM2,no,A0A088AEK8,314.0
K7ITM3,no,A0A088A058,933.0
K7ITM4,no,A0A088A5Z5,137.0
K7ITM5,no,A0A087ZQ34,207.0
K7ITM6,no,A0A087ZQ55,666.5
K7ITM7,no,A0A087ZQ33,339.5
K7ITM8,no,A0A088A4D0,305.0
K7ITM9,no,A0A088A4B4,342.0
K7ITN0,no,A0A088A4B5,429.0
K7ITN1,no,A0A088A4C9,2736.5
K7ITN2,no,A0A088AL08,780.5
K7ITN3,no,A0A088A0M7,1031.0
K7ITN4,no,A0A088A0N8,187.0
K7ITN5,no,A0A088ACC2,421.5
K7ITN6,no,A0A088ACC3,566.5
K7ITN7,no,A0A088ACF1,555.5
K7ITN8,no,A0A088A0M8,1023.5
K7ITP3,no,A0A088ACC0,606.0
K7ITP4,no,A0A087ZYP1,1397.5
K7ITP5,no,A0A088ACF4,1202.5
K7ITP7,no,A0A088ACF3,538.0
K7ITP8,no,A0A088AJI6,685.0
K7ITP9,no,A0A088AA48,157.0
K7ITQ0,no,A0A088AJI7,435.5
K7ITQ3,no,A0A088A6U3,492.5
K7ITQ4,no,A0A088A6T8,132.0
K7ITQ6,no,A0A088AW92,169.0
K7ITQ8,no,A0A088AW93,222.0
K7ITR0,no,A0A088ACF2,175.0
K7ITR6,no,A0A088A1W2,601.5
K7ITR7,no,A0A087ZX77,350.0
K7ITR8,no,A0A087ZX75,459.0
K7ITR9,no,A0A088ACF5,581.0
K7ITS0,no,A0A088ACB9,1088.5
K7ITS1,no,A0A088ACF6,224.0
K7ITS2,no,A0A088ACF7,1259.5
K7ITS3,no,A0A088ACG1,1102.0
K7ITS4,no,A0A088ACB6,500.5
K7ITS5,no,A0A088A780,507.5
K7ITS6,no,A0A088A765,275.0
K7ITS7,no,A0A088A6Y5,351.0
K7ITS8,no,A0A088A6Z7,273.0
K7ITS9,no,A0A088ANJ9,429.0
K7ITT0,no,A0A088APY6,227.5
K7ITT1,no,A0A088ATI5,643.0
K7ITT3,no,A0A088AS03,383.5
K7ITT4,no,A0A088ARX6,246.5
K7ITT5,no,H9K5X4,320.0
K7ITT6,no,A0A088ATC7,459.5
K7ITT9,no,A0A088A1A5,348.0
K7ITU0,no,A0A087ZSR6,935.5
K7ITU1,no,A0A087ZSR7,205.5
K7ITU3,no,A0A087ZSN2,1210.0
K7ITU5,no,A0A088A8Q0,1301.0
K7ITU9,no,A0A088A8H9,407.0
K7ITV2,no,A0A087ZVP9,146.0
K7ITV3,no,A0A087ZVN7,1038.5
K7ITV4,no,A0A088A447,124.0
K7ITV5,no,A0A088A419,415.5
K7ITV6,no,A0A088A448,236.0
K7ITV7,no,A0A088A450,762.5
K7ITV8,no,A0A088A452,218.0
K7ITV9,no,A0A088A417,1241.0
K7ITW0,no,A0A088A415,743.0
K7ITW1,no,A0A088APJ1,136.0
K7ITW2,no,A0A088APJ0,694.0
K7ITW4,no,A0A088APK1,231.0
K7ITW7,no,A0A088ASQ2,854.5
K7ITW8,no,A0A088ASQ1,751.0
K7ITX1,no,A0A088AA60,460.5
K7ITX2,no,A0A088AA01,661.0
K7ITX3,no,A0A088AA58,299.0
K7ITX4,no,I7LST5,273.0
K7ITX5,no,A0A088A3A8,727.0
K7ITX6,no,C6YBD0,459.0
K7ITX7,no,A0A087ZNN2,539.0
K7ITX8,no,A0A088A988,6614.5
K7ITX9,no,A0A088A990,197.5
K7ITY0,no,A0A087ZYD0,1494.5
K7ITY1,no,A0A088AI45,2019.5
K7ITY3,no,A0A087ZP74,712.5
K7ITY4,no,A0A087ZNQ5,1067.0
K7ITY5,no,A0A087ZY49,889.0
K7ITY8,no,A0A088AC28,194.5
K7ITY9,no,A0A087ZPR7,329.0
K7ITZ0,no,A0A087ZPQ5,552.0
K7ITZ1,no,A0A087ZPQ4,377.5
K7ITZ2,no,A0A087ZPQ3,743.0
K7ITZ4,no,A0A087ZQ01,551.0
K7ITZ5,no,A0A087ZQ02,790.5
K7ITZ6,no,A0A087ZQ05,1071.0
K7ITZ7,no,A0A087ZPQ2,435.5
K7ITZ8,no,A0A087ZQ06,640.0
K7ITZ9,no,A0A087ZPQ1,352.0
K7IU00,no,A0A087ZQ07,1050.0
K7IU01,no,A0A087ZRN0,2500.5
K7IU03,no,A0A088ASR1,909.5
K7IU05,no,A0A088A7J6,334.5
K7IU06,no,A0A088A7M8,563.0
K7IU07,no,A0A088A3Y9,537.0
K7IU08,no,A0A088A7M9,440.0
K7IU10,no,A0A088AG70,283.0
K7IU11,no,A0A088AG04,798.0
K7IU12,no,A0A088AG02,295.5
K7IU13,no,A0A088AG71,105.0
K7IU14,no,A0A088AG43,871.5
K7IU15,no,A0A088AG37,399.0
K7IU17,no,A0A088AG35,226.5
K7IU18,no,A0A088AG34,240.0
K7IU20,no,A0A088AG33,255.0
K7IU23,no,A0A088AG45,99.7
K7IU24,no,A0A088AG49,194.5
K7IU25,no,A0A088AG32,650.5
K7IU26,no,A0A088AG31,582.5
K7IU27,no,A0A087ZXW6,293.0
K7IU28,no,A0A088A9D8,488.5
K7IU31,no,A0A087ZW97,444.0
K7IU32,no,A0A087ZWE6,1704.5
K7IU33,no,A0A087ZW96,430.0
K7IU34,no,A0A087ZWE7,31.6
K7IU35,no,A0A087ZWE8,302.5
K7IU36,no,A0A087ZW93,726.0
K7IU37,no,A0A087ZWF0,955.5
K7IU38,no,A0A087ZWE9,1833.0
K7IU41,no,A0A088AP22,960.0
K7IU42,no,A0A088A4G2,888.5
K7IU43,no,A0A088A4G1,55.1
K7IU45,no,A0A088A4K5,225.5
K7IU46,no,A0A088A4K6,56.2
K7IU48,no,A0A088A6Z2,176.0
K7IU55,no,A0A088A6H8,754.0
K7IU60,no,A0A088AF61,1086.0
K7IU61,no,A0A088ADH1,354.0
K7IU62,no,A0A088ADC5,589.0
K7IU63,no,A0A088ADC6,790.0
K7IU64,no,A0A088ADH0,635.5
K7IU65,no,A0A088AGE6,793.5
K7IU69,no,A0A088AGC4,279.0
K7IU71,no,A0A088AGE9,397.0
K7IU72,no,A0A088AGC3,467.0
K7IU73,no,A0A088AGF0,202.0
K7IU74,no,A0A088AGF1,521.5
K7IU76,no,A0A088AGF3,380.0
K7IU79,no,A0A088AGF6,275.5
K7IU80,no,A0A088AGF7,278.0
K7IU81,no,A0A088AGF8,262.5
K7IU82,no,A0A088AGG1,244.5
K7IU83,no,A0A088AGG3,283.0
K7IU84,no,A0A088AGG4,210.5
K7IU85,no,A0A088AGG5,315.5
K7IU86,no,A0A088AGG8,467.5
K7IU87,no,A0A088AGG9,317.5
K7IU88,no,A0A088AGH0,402.5
K7IU89,no,A0A088AGH1,319.5
K7IU90,no,A0A088AGB9,785.0
K7IU91,no,A0A088AGB8,910.0
K7IU92,no,A0A088AGH5,503.0
K7IU95,no,A0A087ZUP1,454.0
K7IU96,no,A0A088A4J9,153.5
K7IU97,no,A0A088A4K0,453.0
K7IU98,no,A0A088AQQ5,1106.5
K7IUA4,no,A0A087ZTY2,593.0
K7IUA7,no,A0A088ADH4,77.8
K7IUA9,no,A0A088ADH5,152.0
K7IUB2,no,A0A088ADH8,482.0
K7IUB3,no,A0A087ZYW2,503.5
K7IUB5,no,A0A088ADH9,1271.0
K7IUB7,no,A0A087ZWJ7,1568.5
K7IUB8,no,P85831,296.0
K7IUC2,no,A0A088A115,745.0
K7IUC3,no,A0A088AF54,636.0
K7IUC4,no,A0A088AF55,1250.0
K7IUC5,no,A0A088AAQ9,1257.0
K7IUC6,no,A0A087ZPA7,1060.0
K7IUC8,no,A0A087ZPB8,250.0
K7IUD6,no,A0A088ASD7,696.5
K7IUE0,no,A0A088ASD6,521.5
K7IUE1,no,A0A087ZTR8,774.0
K7IUE2,no,A0A087ZZH0,271.0
K7IUE3,no,A0A088ASV8,1133.0
K7IUE4,no,A0A088A5Q6,744.0
K7IUE5,no,A0A088A9U5,769.0
K7IUE6,no,A0A088AEY1,566.0
K7IUF0,no,A0A088A230,1321.5
K7IUF1,no,A0A088A226,198.0
K7IUF3,no,A0A088A0Y5,122.5
K7IUF4,no,A0A088A219,4371.5
K7IUF5,no,A0A088A0Z7,705.0
K7IUF8,no,A0A088AAT1,351.0
K7IUG0,no,A0A087ZU11,239.0
K7IUG1,no,A0A088A1H2,929.0
K7IUG7,no,A0A088ARH9,1389.0
K7IUG8,no,A0A088AUS1,394.0
K7IUH5,no,A0A088AS02,186.0
K7IUH6,no,A0A088ARX8,221.0
K7IUH8,no,A0A088ARY0,830.0
K7IUI0,no,A0A088ARY3,355.0
K7IUI1,no,A0A088ARY4,640.0
K7IUI2,no,A0A088AS00,305.0
K7IUI3,no,A0A088ARZ9,330.0
K7IUI4,no,A0A088ARY7,116.0
K7IUI6,no,A0A088A5N1,1412.0
K7IUI7,no,A0A087ZT74,396.0
K7IUI8,no,A0A088AHZ3,491.0
K7IUI9,no,A0A088AJL2,549.0
K7IUJ0,no,A0A088AJH6,727.0
K7IUJ1,no,A0A088AEF7,660.0
K7IUJ2,no,A0A088A002,811.5
K7IUJ3,no,A0A087ZV99,579.0
K7IUJ4,no,A0A087ZWY8,214.0
K7IUJ5,no,A0A088AAI9,320.5
K7IUJ7,no,A0A087ZNT8,285.0
K7IUJ9,no,A0A087ZZR3,502.0
K7IUK0,no,A0A088APP7,402.5
K7IUK2,no,A0A087ZZN8,447.0
K7IUK3,no,A0A087ZZP2,622.5
K7IUK4,no,A0A087ZZN7,335.0
K7IUK5,no,A0A087ZZP4,419.5
K7IUK6,no,A0A088A0B7,626.0
K7IUK7,no,A0A088A0B8,341.0
K7IUK8,no,A0A088A0B9,578.0
K7IUK9,no,A0A088A0C0,1677.5
K7IUL0,no,A0A087ZZV9,267.5
K7IUL1,no,A0A088A0C4,1195.0
K7IUL2,no,A0A088A0C5,1320.0
K7IUL3,no,A0A087ZZV4,362.0
K7IUL4,no,A0A088A0C7,2058.0
K7IUL7,no,A0A088A0C8,589.5
K7IUL8,no,A0A087ZZV1,304.0
K7IUL9,no,A0A088A0D0,850.5
K7IUM0,no,A0A087ZZU9,200.0
K7IUM1,no,A0A087ZU69,994.0
K7IUM2,no,A0A088AKS2,520.0
K7IUM6,no,A0A087ZP66,138.0
K7IUM7,no,A0A087ZNQ9,1235.0
K7IUM9,no,A0A088AB92,146.0
K7IUN0,no,A0A087ZZR2,856.0
K7IUN1,no,A0A088A0G8,398.5
K7IUN2,no,A0A088A604,350.0
K7IUN4,no,A0A088A0G2,256.0
K7IUN5,no,A0A087ZZR8,2122.5
K7IUN6,no,A0A087ZT72,225.0
K7IUN7,no,A0A087ZVC7,1188.0
K7IUN8,no,A0A087ZV20,858.0
K7IUN9,no,A0A087ZV22,236.0
K7IUP0,no,A0A087ZV23,290.0
K7IUP1,no,A0A087ZVC4,568.5
K7IUP2,no,A0A087ZV24,165.0
K7IUP3,no,A0A087ZVC3,1017.0
K7IUP4,no,A0A087ZVB8,312.0
K7IUP5,no,A0A087ZV27,246.5
K7IUP6,no,A0A087ZV28,327.0
K7IUP7,no,A0A087ZVB7,336.5
K7IUP9,no,A0A087ZVB6,251.0
K7IUQ0,no,A0A087ZVB5,401.0
K7IUQ1,no,A0A087ZVB4,112.0
K7IUQ2,no,A0A087ZVB3,272.0
K7IUQ3,no,A0A087ZV31,259.0
K7IUQ4,no,A0A087ZV32,673.5
K7IUQ5,no,A0A088AHR2,1448.0
K7IUQ6,no,A0A088AHL6,493.5
K7IUQ7,no,A0A088AHV4,427.0
K7IUQ8,no,A0A088AHS7,594.0
K7IUQ9,no,A0A088AHH9,2076.0
K7IUR0,no,A0A088AHV5,662.0
K7IUR1,no,H9KTC9,262.0
K7IUR2,no,A0A088AHV9,159.5
K7IUR3,no,A0A088AHH7,450.0
K7IUR6,no,A0A088A035,536.5
K7IUR7,no,A0A088A039,733.0
K7IUR8,no,A0A087ZX40,602.0
K7IUR9,no,A0A088A8Y7,649.0
K7IUS0,no,A0A088AQF9,236.0
K7IUS1,no,A0A088AQG0,533.0
K7IUS3,no,A0A088ALS3,370.5
K7IUS4,no,A0A088ALS0,546.0
K7IUS7,no,A0A088ALS2,318.0
K7IUS8,no,A0A087ZT42,107.5
K7IUS9,no,A0A088A256,868.0
K7IUT1,no,A0A088A255,164.5
K7IUT2,no,A0A088A254,817.5
K7IUT4,no,A0A088A0P9,617.0
K7IUT5,no,A0A088AHT4,260.5
K7IUT7,no,A0A088AHT5,719.5
K7IUT8,no,A0A088AHJ8,676.5
K7IUT9,no,A0A088AHT6,414.0
K7IUU0,no,A0A088AL35,1156.0
K7IUU1,no,A0A088AL67,701.0
K7IUU2,no,A0A088A015,609.0
K7IUU3,no,A0A088A060,1248.0
K7IUU5,no,A0A087ZZN6,862.5
K7IUU8,no,A0A088AL55,1261.5
K7IUU9,no,A0A087ZQ76,1414.0
K7IUV1,no,A0A087ZQ83,835.5
K7IUV2,no,A0A087ZQ71,783.5
K7IUV3,no,A0A088AD90,845.5
K7IUV4,no,A0A088AM16,223.0
K7IUV5,no,A0A088AM22,629.0
K7IUV6,no,A0A088AM18,144.0
K7IUV8,no,A0A088ARH6,1350.0
K7IUV9,no,A0A088ARH5,501.5
K7IUW0,no,A0A087ZU85,401.0
K7IUW1,no,A0A088AGD0,864.5
K7IUW5,no,A0A087ZN12,871.0
K7IUW7,no,A0A087ZN15,1076.5
K7IUW9,no,A0A087ZN03,1312.5
K7IUX0,no,A0A087ZN16,327.5
K7IUX1,no,A0A087ZN17,202.0
K7IUX2,no,A0A087ZN02,545.0
K7IUX7,no,A0A087ZMZ9,436.0
K7IUX8,no,B6F2B8,120.0
K7IUX9,no,A0A087ZN21,943.0
K7IUY0,no,A0A087ZN22,593.0
K7IUY1,no,A0A087ZN23,274.0
K7IUY2,no,A0A087ZN25,118.0
K7IUY3,no,A0A087ZN26,1006.0
K7IUY5,no,A0A088ATG6,291.0
K7IUY6,no,A0A088ATG5,622.5
K7IUY9,no,A0A088ATB4,2705.0
K7IUZ0,no,A0A088A834,336.0
K7IUZ2,no,A0A088ABX9,274.0
K7IUZ5,no,A0A087ZN37,1287.5
K7IUZ6,no,A0A087ZN38,564.0
K7IUZ7,no,A0A087ZN42,271.0
K7IUZ8,no,A0A087ZMY9,582.0
K7IUZ9,no,A0A087ZN41,365.0
K7IV04,no,A0A087ZN43,1978.5
K7IV08,no,A0A087ZN45,607.0
K7IV09,no,A0A087ZMY1,565.5
K7IV10,no,A0A088A7Q3,1107.5
K7IV16,no,A0A087ZMZ5,856.0
K7IV17,no,A0A088ATB0,360.0
K7IV18,no,A0A088ATG8,2527.5
K7IV19,no,A0A088AQ51,723.0
K7IV20,no,A0A087ZXT8,495.0
K7IV22,no,A0A087ZSE8,954.0
K7IV23,no,A0A087ZS28,1629.5
K7IV25,no,A0A088AA93,691.0
K7IV26,no,A0A088AMA5,757.0
K7IV30,no,A0A088AF90,278.0
K7IV31,no,A0A088AGP1,946.0
K7IV32,no,A0A088AGS8,2410.0
K7IV33,no,A0A088AGP2,789.0
K7IV35,no,A0A088AAB4,310.0
K7IV36,no,A0A088AAN0,567.5
K7IV37,no,A0A088A4W7,558.0
K7IV38,no,A0A088A4W6,1358.5
K7IV41,no,A0A087ZY47,452.0
K7IV43,no,A0A088AHJ0,612.0
K7IV44,no,A0A088AHI9,2185.0
K7IV45,no,A0A088AE21,388.5
K7IV46,no,A0A088AE20,514.0
K7IV47,no,A0A088ACQ3,119.0
K7IV48,no,A0A088ACQ4,247.0
K7IV51,no,A0A088AGP4,334.0
K7IV52,no,A0A088AGP5,85.1
K7IV53,no,A0A088AGP6,293.0
K7IV54,no,A0A088ANP8,444.5
K7IV55,no,A0A088ANK3,47.2
K7IV56,no,A0A088ANP7,848.5
K7IV57,no,A0A088AP61,55.5
K7IV58,no,A0A088AJN4,1259.0
K7IV62,no,A0A087ZYD5,611.0
K7IV63,no,A0A087ZYD4,901.5
K7IV65,no,A0A088A086,81.85
K7IV66,no,A0A087ZZZ3,746.5
K7IV67,no,A0A088AGE3,384.0
K7IV68,no,A0A088AGE5,350.5
K7IV69,no,A0A088AGC6,304.5
K7IV70,no,A0A088AF32,503.0
K7IV71,no,A0A088AVT7,732.0
K7IV72,no,A0A088AF14,474.0
K7IV73,no,A0A088AF31,366.0
K7IV74,no,A0A088AFC0,144.0
K7IV75,no,A0A088AF28,910.5
K7IV76,no,A0A087ZWH3,622.0
K7IV77,no,A0A087ZW72,505.5
K7IV79,no,A0A087ZUU1,135.0
K7IV83,no,A0A087ZVJ7,169.0
K7IV84,no,A0A087ZUT8,136.5
K7IV85,no,A0A087ZUT7,155.0
K7IV86,no,A0A088A501,305.0
K7IV87,no,A0A088A502,436.5
K7IV88,no,A0A088A510,597.5
K7IV89,no,A0A088A509,291.0
K7IV93,no,A0A088ARA7,915.0
K7IV96,no,A0A088AR30,958.0
K7IV97,no,A0A088ARA9,382.0
K7IV99,no,A0A088AR29,284.0
K7IVA0,no,A0A087ZXU0,214.0
K7IVA1,no,A0A087ZXW2,117.0
K7IVA3,no,A0A088ASE8,189.0
K7IVA4,no,A0A088ASC8,270.5
K7IVA7,no,A0A088A3T1,558.5
K7IVA9,no,A0A087ZXV1,1217.5
K7IVB2,no,A0A087ZXU4,266.0
K7IVB3,no,A0A088APZ0,233.0
K7IVB4,no,A0A088ANP6,629.5
K7IVB5,no,A0A088ASE7,796.0
K7IVB7,no,A0A088ASE6,229.0
K7IVB8,no,A0A088ASC9,171.0
K7IVB9,no,A0A087ZWE5,1309.0
K7IVC1,no,A0A087ZW99,660.0
K7IVC4,no,A0A088A861,206.5
K7IVC6,no,A0A088AF18,886.5
K7IVC7,no,A0A088AAU6,297.0
K7IVC8,no,A0A088AF19,414.0
K7IVC9,no,A0A088AHW0,467.0
K7IVD0,no,A4GKG5,984.5
K7IVD1,no,A0A088AHH3,463.0
K7IVD2,no,A0A088AEQ2,1294.0
K7IVD3,no,A0A088AHH2,181.0
K7IVD4,no,A0A0B4J2P1,524.0
K7IVD6,no,A0A088AHW7,602.0
K7IVD7,no,A0A088AHH1,1091.5
K7IVD9,no,A0A088AUD7,923.0
K7IVE1,no,A0A087ZNY0,162.0
K7IVE5,no,A0A088AUC9,991.5
K7IVE6,no,A0A088ADE3,1463.5
K7IVE7,no,A0A088ADE6,296.0
K7IVE8,no,A0A087ZYD9,1286.5
K7IVF0,no,A0A087ZYE2,635.0
K7IVF1,no,A0A088ARC6,810.0
K7IVF2,no,A0A088AR16,167.0
K7IVF3,no,A0A088AR15,118.0
K7IVF4,no,A0A088AR14,838.5
K7IVF5,no,A0A088ARC7,234.0
K7IVF6,no,A0A088AR93,1462.0
K7IVF8,no,A0A088A5A4,1041.5
K7IVF9,no,A0A088A575,639.5
K7IVG0,no,A0A088A576,762.5
K7IVG1,no,A0A088A5A3,1812.5
K7IVG2,no,A0A088AQA4,273.0
K7IVG3,no,A0A088AQ99,149.0
K7IVG4,no,A0A088AQA5,2036.0
K7IVG5,no,A0A088AQA7,311.0
K7IVG6,no,A0A088AQA8,446.5
K7IVG7,no,A0A087ZUL8,286.0
K7IVG8,no,A0A087ZR08,92.8
K7IVG9,no,A0A088AVC5,122.0
K7IVH0,no,A0A088A145,1515.5
K7IVH1,no,A0A088AIY8,614.0
K7IVH2,no,A0A088AH45,335.0
K7IVH3,no,A0A088AGY5,669.0
K7IVH4,no,A0A087ZS08,152.0
K7IVH5,no,A0A088AFI3,445.0
K7IVH6,no,A0A088A3A2,186.0
K7IVH7,no,A0A088A2Y8,2011.0
